Team,Points,TotalWageBillEUR,PredictedPoints,ValueResidual,PointsPer10M
Argentina,18,210526000.0,10.82721923350988,7.172780766490121,0.8550012825019236
France,18,281825000.0,12.043819650784698,5.956180349215302,0.6386942251397143
Mexico,12,75361000.0,6.542217676946677,5.457782323053323,1.5923355581799603
Spain,16,198931000.0,10.590924452093972,5.409075547906028,0.804298978037611
Switzerland,13,98910000.0,7.676411863880958,5.323588136119042,1.3143261550904863
Morocco,13,122229000.0,8.559365026975328,4.440634973024672,1.0635773834360096
England,16,255754000.0,11.638934571311637,4.361065428688363,0.6256011636181644
Egypt,8,39999000.0,3.9001258025848955,4.0998741974151045,2.0000500012500315
Colombia,10,92353000.0,7.390310454100529,2.609689545899471,1.0828018580879883
Iran,3,17349000.0,0.41596478124033354,2.5840352187596665,1.7292062943109112
Norway,12,150690000.0,9.432484616068535,2.5675153839314646,0.7963368504877563
Belgium,11,120910000.0,8.514109671694115,2.485890328305885,0.909767595732363
South Africa,4,22802000.0,1.555968982800934,2.444031017199066,1.7542320849048332
Qatar,1,12003000.0,-1.1205598722009,2.1205598722009,0.8331250520703158
Cabo Verde,3,20899000.0,1.192474605034235,1.807525394965765,1.4354753815972054
Paraguay,7,58055000.0,5.453994247032824,1.5460057529671758,1.2057531651020583
Jordan,0,11026000.0,-1.4746842242528402,1.4746842242528402,0.0
Curaçao,1,15293000.0,-0.11017024021992938,1.1101702402199294,0.653893938403191
Saudi Arabia,2,19437000.0,0.8899780836336646,1.1100219163663354,1.0289653753151207
Canada,7,66543000.0,6.023165584359916,0.9768344156400843,1.0519513697909622
USA,9,110654000.0,8.144394959575834,0.855605040424166,0.8133461058795886
Australia,4,33766000.0,3.1935493648158655,0.8064506351841345,1.1846235858555945
New Zealand,1,18282000.0,0.6344532243924021,0.36554677560759785,0.5469861065528936
Iraq,0,15354000.0,-0.09356603894848092,0.09356603894848092,0.0
Brazil,10,192005000.0,10.443116494806816,-0.4431164948068158,0.5208197703184813
Panama,0,17556000.0,0.4654372227178527,-0.4654372227178527,0.0
DR Congo,4,50770000.0,4.894717937075299,-0.8947179370752991,0.7878668505022651
Bosnia & Herzegovina,4,56449000.0,5.33698264854246,-1.3369826485424596,0.708604226824213
Croatia,6,100650000.0,7.749150023394179,-1.7491500233941792,0.5961251862891207
Haiti,0,24245000.0,1.8119137094366664,-1.8119137094366664,0.0
Ghana,4,64029000.0,5.862529007852999,-1.8625290078529986,0.6247169251432945
South Korea,3,50385000.0,4.862967404012437,-1.862967404012437,0.5954153021732659
Scotland,3,56734000.0,5.357988492055128,-2.357988492055128,0.5287834455529312
Japan,5,92853000.0,7.412831655598467,-2.412831655598467,0.5384855632020505
Austria,4,74804000.0,6.511274563081216,-2.5112745630812157,0.5347307630607988
Tunisia,0,29867000.0,2.681760564028295,-2.681760564028295,0.0
Algeria,4,79041000.0,6.741080088002477,-2.7410800880024766,0.506066471831075
Portugal,8,212192000.0,10.860096980835024,-2.8600969808350243,0.37701704117026086
Uzbekistan,0,31356000.0,2.884688244555349,-2.884688244555349,0.0
Côte d'Ivoire,6,135050000.0,8.975422183803602,-2.9754221838036017,0.44427989633469084
Netherlands,7,178114000.0,10.129880459151991,-3.129880459151991,0.3930067260293969
Ecuador,4,95244000.0,7.518878231247797,-3.518878231247797,0.4199739616143799
Sweden,4,108371000.0,8.057438169328563,-4.057438169328563,0.3691024351533159
Uruguay,2,71129000.0,6.301152714456421,-4.301152714456421,0.2811792658409369
Czechia,1,61108000.0,5.667768784816232,-4.667768784816232,0.1636446946389998
Germany,6,220141000.0,11.013494595066106,-5.013494595066106,0.27255259129376175
Türkiye,3,107528000.0,8.024865398789245,-5.024865398789245,0.27899709843017634
Senegal,3,123831000.0,8.613677950131574,-5.613677950131574,0.2422656685321123
