Team,Points,MarketValueEUR,PredictedPoints,ValueResidual,PointsPer100M
Argentina,18,807500000,10.050020253497046,7.9499797465029545,2.2291021671826625
Mexico,12,191850000,5.7653121247783545,6.2346878752216455,6.254886630179827
France,18,1523000000,11.94159245559159,6.058407544408411,1.1818778726198294
Switzerland,13,332500000,7.404767074205587,5.595232925794413,3.9097744360902253
Spain,16,1222800000,11.28709733627511,4.71290266372489,1.3084723585214262
Morocco,13,447700000,8.291633246018122,4.708366753981878,2.903730176457449
England,16,1358200000,11.600176911367413,4.399823088632587,1.1780297452510675
Egypt,8,116475000,4.277568545311361,3.722431454688639,6.868426701008801
Norway,12,589900000,9.113944384320035,2.8860556156799646,2.0342430920495
Colombia,10,302350000,7.121387713185008,2.8786122868149917,3.30742516950554
Iran,3,32050000,0.430653053277382,2.569346946722618,9.360374414976599
South Africa,4,49250000,1.7114249502525283,2.2885750497474717,8.121827411167512
Belgium,11,547500000,8.891572886340256,2.1084271136597437,2.0091324200913245
Qatar,1,19925000,-0.9863901056977724,1.9863901056977724,5.018820577164366
Paraguay,7,153650000,5.103370597656593,1.8966294023434074,4.555808656036446
Curaçao,1,25775000,-0.21893314785402396,1.218933147854024,3.87972841901067
USA,9,385650000,7.846854462710823,1.153145537289177,2.3337222870478413
Canada,7,198650000,5.869150282184705,1.1308497178152948,3.523785552479235
Cabo Verde,3,54500000,2.01339751717547,0.9866024828245301,5.504587155963303
Australia,4,77450000,3.061096053533113,0.9389039464668869,5.1646223369916076
Jordan,0,20300000,-0.9308031368907876,0.9308031368907876,0.0
Saudi Arabia,2,40675000,1.1411287991158048,0.8588712008841952,4.917025199754149
Iraq,0,21200000,-0.8014765824717642,0.8014765824717642,0.0
New Zealand,1,34300000,0.6329239236436521,0.36707607635634787,2.9154518950437316
Brazil,10,928200000,10.465317758545211,-0.4653177585452113,1.077354018530489
Panama,0,34550000,0.6545741862330345,-0.6545741862330345,0.0
DR Congo,4,143650000,4.90274139315013,-0.90274139315013,2.78454577097111
Bosnia & Herzegovina,4,146400000,4.959273872537686,-0.9592738725376861,2.73224043715847
Japan,5,270850000,6.793392630935351,-1.793392630935351,1.8460402436773122
South Korea,3,139050000,4.805713734440573,-1.8057137344405731,2.157497303128371
Croatia,6,387300000,7.859582410869187,-1.8595824108691872,1.5491866769945777
Haiti,0,55850000,2.086344661327381,-2.086344661327381,0.0
Ghana,4,234350000,6.36186154604021,-2.3618615460402097,1.7068487305312565
Scotland,3,170250000,5.409216740978501,-2.4092167409785006,1.762114537444934
Austria,4,245200000,6.496787395482897,-2.4967873954828974,1.6313213703099512
Algeria,4,256900000,6.635750484658402,-2.635750484658402,1.5570260801868432
Portugal,8,1005500000,10.703795081991892,-2.703795081991892,0.7956240676280457
Côte d'Ivoire,6,522100000,8.74995465219515,-2.74995465219515,1.1492051331162612
Tunisia,0,69950000,2.7574524137788856,-2.7574524137788856,0.0
Netherlands,7,754200000,9.84644569368978,-2.8464456936897804,0.9281357730045081
Uzbekistan,0,85125000,3.342786919218149,-3.342786919218149,0.0
Ecuador,4,368700000,7.712857452293676,-3.712857452293676,1.0848928668294007
Sweden,4,409075000,8.022652386072181,-4.022652386072181,0.9778158039479313
Germany,6,947000000,10.525096945173445,-4.525096945173445,0.6335797254487856
Czechia,1,188175000,5.7076508938066155,-4.7076508938066155,0.5314202205393915
Türkiye,3,473700000,8.45992608798256,-5.459926087982559,0.6333122229259025
Senegal,3,478100000,8.487489645221764,-5.487489645221764,0.6274837900020916
Uruguay,2,359300000,7.635865415852393,-5.635865415852393,0.5566379070414695
